Measurement started: 14:30:49.471 29.05.2019
ended: 15:25:30.665 29.05.2019
Measurement Current was 2.000E-6A
Field [T]	Gate [V]	LI#1(Rxx) [Ohm]	Phase#1 [°]	LI#2(Rxy) [Ohm]	Phase#2 [°]	
5.406900E+0	0.000000E+0	8.119123E+1	-5.122473E-2	7.479798E+2	-2.067922E+1
5.407100E+0	0.000000E+0	8.110010E+1	-4.941955E-2	7.476911E+2	-8.033163E-1
5.407380E+0	0.000000E+0	8.105194E+1	2.153250E-2	7.495115E+2	8.405674E-3
5.407530E+0	0.000000E+0	8.103049E+1	1.381707E-2	7.500872E+2	1.313837E-2
5.407380E+0	0.000000E+0	8.108260E+1	-3.829527E-2	7.499785E+2	-1.542099E-2
5.407280E+0	0.000000E+0	8.105719E+1	1.697957E-2	7.499615E+2	-9.260506E-3
5.407250E+0	0.000000E+0	8.101050E+1	-2.145365E-2	7.496793E+2	-1.851706E-2
5.406980E+0	0.000000E+0	8.100141E+1	-2.704464E-3	7.495057E+2	-5.837500E-4
5.406700E+0	0.000000E+0	8.106600E+1	-5.212949E-2	7.498102E+2	3.128227E-2
5.406220E+0	0.000000E+0	8.103821E+1	-2.264990E-2	7.498773E+2	-6.195742E-4
5.405540E+0	0.000000E+0	8.115831E+1	6.431056E-2	7.502517E+2	1.332524E-2
5.405130E+0	0.000000E+0	8.107549E+1	5.385524E-2	7.500867E+2	8.788991E-3
5.404650E+0	0.000000E+0	8.116809E+1	5.208430E-2	7.501527E+2	-1.062335E-2
5.404230E+0	0.000000E+0	8.117248E+1	-6.259570E-2	7.498451E+2	-1.090856E-2
5.403720E+0	0.000000E+0	8.124521E+1	-1.046070E-2	7.498063E+2	3.255979E-3
5.403170E+0	0.000000E+0	8.119679E+1	-2.869391E-2	7.495738E+2	-4.844610E-3
5.402710E+0	0.000000E+0	8.106478E+1	-9.147950E-2	7.495699E+2	-6.420209E-3
5.402160E+0	0.000000E+0	8.097774E+1	-5.310000E-2	7.493705E+2	-3.875348E-3
5.401550E+0	0.000000E+0	8.091410E+1	-2.366208E-2	7.493835E+2	-5.244581E-4
5.400790E+0	0.000000E+0	8.091700E+1	6.242730E-2	7.489445E+2	2.269603E-2
5.400110E+0	0.000000E+0	8.088887E+1	1.844019E-2	7.486352E+2	3.904003E-2
5.399400E+0	0.000000E+0	8.096804E+1	3.208478E-2	7.488946E+2	6.034198E-3
5.398670E+0	0.000000E+0	8.098931E+1	7.736671E-2	7.491071E+2	1.769337E-2
5.397660E+0	0.000000E+0	8.105117E+1	-9.767437E-3	7.490730E+2	9.177779E-3
5.396830E+0	0.000000E+0	8.098855E+1	-1.500159E-2	7.488009E+2	-2.942236E-2
5.396020E+0	0.000000E+0	8.111198E+1	-5.213658E-2	7.488194E+2	-2.481904E-2
5.395060E+0	0.000000E+0	8.101573E+1	-6.350231E-2	7.489460E+2	3.803854E-6
5.394210E+0	0.000000E+0	8.095788E+1	-9.640342E-3	7.485070E+2	-1.214622E-2
5.393150E+0	0.000000E+0	8.086382E+1	9.260262E-3	7.483367E+2	1.609674E-2
5.392260E+0	0.000000E+0	8.091298E+1	2.967335E-2	7.481475E+2	1.445111E-2
5.391100E+0	0.000000E+0	8.097113E+1	2.505884E-2	7.478669E+2	1.262439E-2
5.389970E+0	0.000000E+0	8.096501E+1	2.389413E-2	7.476920E+2	-8.658210E-3
5.388930E+0	0.000000E+0	8.101587E+1	4.079588E-2	7.477532E+2	1.490915E-3
5.387670E+0	0.000000E+0	8.096097E+1	4.922877E-2	7.475296E+2	-1.329936E-2
5.386380E+0	0.000000E+0	8.103637E+1	1.658277E-2	7.473528E+2	1.759451E-2
5.385170E+0	0.000000E+0	8.093055E+1	-4.013270E-2	7.471003E+2	7.748352E-3
5.384010E+0	0.000000E+0	8.098970E+1	-7.722630E-2	7.468263E+2	7.366111E-3
5.383030E+0	0.000000E+0	8.084445E+1	-5.658489E-2	7.468256E+2	1.150390E-2
5.381910E+0	0.000000E+0	8.081096E+1	-6.960966E-2	7.466731E+2	1.027731E-2
5.380850E+0	0.000000E+0	8.071914E+1	3.583748E-2	7.464926E+2	6.409929E-3
5.379640E+0	0.000000E+0	8.078224E+1	3.983810E-2	7.465928E+2	1.481295E-2
5.378360E+0	0.000000E+0	8.076212E+1	5.456593E-2	7.464505E+2	2.944583E-2
5.377170E+0	0.000000E+0	8.082422E+1	8.910275E-2	7.461985E+2	3.526717E-2
5.375910E+0	0.000000E+0	8.090110E+1	5.766991E-4	7.461210E+2	1.026972E-2
5.374570E+0	0.000000E+0	8.091044E+1	1.792452E-2	7.458786E+2	-1.737748E-2
5.373760E+0	0.000000E+0	8.086524E+1	-4.290701E-2	7.456534E+2	3.598821E-3
5.372530E+0	0.000000E+0	8.084384E+1	-4.122337E-2	7.455413E+2	4.229933E-3
5.371440E+0	0.000000E+0	8.083391E+1	-5.604686E-3	7.452743E+2	-7.426020E-3
5.370280E+0	0.000000E+0	8.076776E+1	-3.322138E-2	7.451938E+2	1.237221E-3
5.369240E+0	0.000000E+0	8.072368E+1	-2.401432E-2	7.450526E+2	1.037207E-2
5.368210E+0	0.000000E+0	8.067627E+1	-6.669704E-2	7.448286E+2	1.546124E-2
5.366870E+0	0.000000E+0	8.065088E+1	-8.057999E-3	7.444984E+2	1.128187E-2
5.365430E+0	0.000000E+0	8.062095E+1	-8.005343E-3	7.446211E+2	-1.147752E-3
5.363920E+0	0.000000E+0	8.072836E+1	2.548669E-2	7.443139E+2	2.183206E-3
5.362710E+0	0.000000E+0	8.067475E+1	-7.290000E-3	7.439867E+2	1.395085E-2
5.361400E+0	0.000000E+0	8.063648E+1	8.312976E-3	7.438323E+2	-4.713614E-3
5.360180E+0	0.000000E+0	8.068029E+1	-4.333463E-2	7.438142E+2	-5.270085E-3
5.359070E+0	0.000000E+0	8.058420E+1	-8.132352E-3	7.433930E+2	1.163551E-2
5.357910E+0	0.000000E+0	8.046261E+1	-7.191327E-2	7.430057E+2	-9.196229E-6
5.356780E+0	0.000000E+0	8.046376E+1	-1.740766E-2	7.430113E+2	2.849302E-2
5.355360E+0	0.000000E+0	8.046213E+1	-1.585328E-2	7.426453E+2	2.743537E-2
5.354280E+0	0.000000E+0	8.043417E+1	1.432552E-2	7.427264E+2	4.069672E-2
5.353320E+0	0.000000E+0	8.042587E+1	5.253652E-2	7.424812E+2	1.546818E-2
5.351800E+0	0.000000E+0	8.042646E+1	5.845470E-2	7.424577E+2	2.475567E-2
5.350720E+0	0.000000E+0	8.051686E+1	5.773472E-2	7.424213E+2	8.116270E-3
5.349680E+0	0.000000E+0	8.045894E+1	-1.865229E-2	7.418941E+2	-2.038037E-2
5.348520E+0	0.000000E+0	8.048431E+1	-9.033064E-3	7.418007E+2	-1.471164E-2
5.347390E+0	0.000000E+0	8.049381E+1	-5.909963E-2	7.416132E+2	-1.125836E-2
