Measurement started: 15:44:39.071 29.05.2019
ended: 16:31:27.915 29.05.2019
Measurement Current was 2.000E-6A
Field [T]	Gate [V]	LI#1(Rxx) [Ohm]	Phase#1 [°]	LI#2(Rxy) [Ohm]	Phase#2 [°]	
-5.391660E+0	0.000000E+0	8.794921E+1	3.549409E-2	6.909912E+2	9.770806E-2
-5.391710E+0	0.000000E+0	8.807667E+1	-1.119378E-1	7.366249E+2	1.027145E-1
-5.391480E+0	0.000000E+0	8.802822E+1	-9.829091E-2	7.379485E+2	4.918584E-3
-5.391300E+0	0.000000E+0	8.792355E+1	-8.548730E-2	7.364422E+2	5.859246E-2
-5.391230E+0	0.000000E+0	8.792231E+1	-2.382479E-3	7.369605E+2	1.061010E-1
-5.390980E+0	0.000000E+0	8.808686E+1	8.039516E-2	7.374368E+2	7.143112E-2
-5.390500E+0	0.000000E+0	8.812621E+1	-4.692165E-2	7.375518E+2	9.430605E-2
-5.389840E+0	0.000000E+0	8.816576E+1	1.172075E-1	7.374575E+2	1.034417E-1
-5.389460E+0	0.000000E+0	8.825400E+1	-2.448081E-2	7.373456E+2	1.174653E-1
-5.389080E+0	0.000000E+0	8.798137E+1	1.680220E-2	7.368622E+2	1.343468E-1
-5.388680E+0	0.000000E+0	8.793626E+1	1.535512E-1	7.363659E+2	1.480005E-1
-5.388270E+0	0.000000E+0	8.810775E+1	1.958237E-1	7.360749E+2	1.471158E-1
-5.387110E+0	0.000000E+0	8.781062E+1	9.315590E-2	7.362271E+2	1.840051E-1
-5.386580E+0	0.000000E+0	8.792132E+1	2.283154E-1	7.360665E+2	1.692474E-1
-5.385950E+0	0.000000E+0	8.812083E+1	1.360257E-1	7.357355E+2	1.674756E-1
-5.385220E+0	0.000000E+0	8.794729E+1	5.305906E-2	7.356717E+2	1.892758E-1
-5.384560E+0	0.000000E+0	8.778933E+1	1.812903E-1	7.355923E+2	1.757707E-1
-5.383880E+0	0.000000E+0	8.794917E+1	2.769045E-1	7.352864E+2	1.745779E-1
-5.383200E+0	0.000000E+0	8.802346E+1	3.857419E-2	7.352947E+2	2.011857E-1
-5.382420E+0	0.000000E+0	8.769220E+1	3.017375E-3	7.351636E+2	1.323260E-1
-5.381590E+0	0.000000E+0	8.768317E+1	1.620450E-1	7.345949E+2	1.182424E-1
-5.380750E+0	0.000000E+0	8.790973E+1	1.680159E-1	7.344244E+2	1.280053E-1
-5.379900E+0	0.000000E+0	8.781562E+1	9.107337E-3	7.345442E+2	1.444906E-1
-5.379060E+0	0.000000E+0	8.755946E+1	8.713672E-2	7.339445E+2	1.374467E-1
-5.378180E+0	0.000000E+0	8.759173E+1	2.323263E-1	7.336577E+2	1.156332E-1
-5.377220E+0	0.000000E+0	8.784439E+1	1.369572E-1	7.337687E+2	1.157169E-1
-5.376410E+0	0.000000E+0	8.768224E+1	-5.201068E-2	7.338552E+2	1.158702E-1
-5.375350E+0	0.000000E+0	8.750075E+1	-9.718191E-3	7.336720E+2	9.099338E-2
-5.374420E+0	0.000000E+0	8.760535E+1	6.578818E-2	7.332845E+2	7.390332E-2
-5.373130E+0	0.000000E+0	8.772664E+1	-1.334294E-1	7.327787E+2	5.869081E-2
-5.372300E+0	0.000000E+0	8.753048E+1	-1.804224E-1	7.328270E+2	2.652084E-2
-5.371160E+0	0.000000E+0	8.749770E+1	-5.412686E-2	7.330140E+2	1.979551E-2
-5.370180E+0	0.000000E+0	8.774555E+1	-3.677208E-2	7.332219E+2	2.123192E-2
-5.368970E+0	0.000000E+0	8.776330E+1	-1.928859E-1	7.331548E+2	-8.109332E-3
-5.367810E+0	0.000000E+0	8.760907E+1	-2.190697E-1	7.332926E+2	-2.265289E-2
-5.366700E+0	0.000000E+0	8.766534E+1	-1.013775E-1	7.331911E+2	-2.282269E-2
-5.365510E+0	0.000000E+0	8.793616E+1	-1.866268E-1	7.334020E+2	-1.018365E-2
-5.364370E+0	0.000000E+0	8.777682E+1	-3.035363E-1	7.335022E+2	-3.102602E-2
-5.363260E+0	0.000000E+0	8.764333E+1	-1.432508E-1	7.331134E+2	1.584360E-4
-5.361900E+0	0.000000E+0	8.789143E+1	-2.385280E-2	7.330175E+2	2.875224E-2
-5.360610E+0	0.000000E+0	8.795911E+1	-1.758224E-1	7.336195E+2	2.964585E-2
-5.359380E+0	0.000000E+0	8.766836E+1	-5.651616E-2	7.332315E+2	3.672554E-2
-5.358090E+0	0.000000E+0	8.776275E+1	1.069678E-1	7.326194E+2	6.236691E-2
-5.356680E+0	0.000000E+0	8.804336E+1	5.935617E-2	7.329419E+2	1.035568E-1
-5.355640E+0	0.000000E+0	8.782903E+1	-8.060946E-2	7.331269E+2	1.129650E-1
-5.354150E+0	0.000000E+0	8.771142E+1	1.234999E-1	7.324421E+2	7.581283E-2
-5.352860E+0	0.000000E+0	8.796382E+1	1.545389E-1	7.322968E+2	1.176009E-1
-5.351650E+0	0.000000E+0	8.792845E+1	2.577646E-2	7.326991E+2	1.481825E-1
-5.350190E+0	0.000000E+0	8.762169E+1	1.197877E-1	7.324519E+2	1.360040E-1
-5.348980E+0	0.000000E+0	8.767868E+1	2.740739E-1	7.314360E+2	1.350349E-1
-5.347540E+0	0.000000E+0	8.776506E+1	2.002233E-1	7.311027E+2	1.724904E-1
-5.346130E+0	0.000000E+0	8.746206E+1	9.922224E-2	7.311048E+2	1.622842E-1
-5.344790E+0	0.000000E+0	8.729092E+1	2.908922E-1	7.299891E+2	1.549065E-1
-5.343430E+0	0.000000E+0	8.744915E+1	2.953929E-1	7.293600E+2	2.107712E-1
-5.342010E+0	0.000000E+0	8.731450E+1	1.467499E-1	7.295972E+2	2.149795E-1
-5.340800E+0	0.000000E+0	8.708520E+1	1.920471E-1	7.294667E+2	1.766464E-1
-5.339310E+0	0.000000E+0	8.716041E+1	2.994750E-1	7.285973E+2	1.821835E-1
-5.338000E+0	0.000000E+0	8.715893E+1	1.240371E-1	7.284446E+2	1.963919E-1
-5.336640E+0	0.000000E+0	8.690366E+1	7.554718E-2	7.281419E+2	1.532856E-1
-5.335200E+0	0.000000E+0	8.683954E+1	2.213187E-1	7.273054E+2	1.294775E-1
-5.333730E+0	0.000000E+0	8.703196E+1	1.114933E-1	7.270898E+2	1.678957E-1
-5.332520E+0	0.000000E+0	8.679266E+1	1.000614E-3	7.272165E+2	1.288326E-1
-5.331010E+0	0.000000E+0	8.663513E+1	8.537175E-2	7.263978E+2	8.475151E-2
-5.329720E+0	0.000000E+0	8.685672E+1	8.031277E-2	7.262051E+2	9.689062E-2
-5.328360E+0	0.000000E+0	8.668866E+1	-1.019406E-1	7.264864E+2	5.868333E-2
-5.326840E+0	0.000000E+0	8.655321E+1	-3.016342E-2	7.259949E+2	1.635629E-2
-5.325660E+0	0.000000E+0	8.672461E+1	-7.016469E-2	7.257168E+2	3.857882E-2
-5.324290E+0	0.000000E+0	8.679140E+1	-2.078804E-1	7.260141E+2	1.472731E-2
-5.322760E+0	0.000000E+0	8.672224E+1	-1.389113E-1	7.259013E+2	-6.499509E-3
-5.321440E+0	0.000000E+0	8.690895E+1	-9.460074E-2	7.253147E+2	-1.404519E-2
-5.320000E+0	0.000000E+0	8.681940E+1	-2.088054E-1	7.254285E+2	-2.321294E-2
-5.318570E+0	0.000000E+0	8.675970E+1	-1.105017E-1	7.252118E+2	-5.151640E-2
-5.317380E+0	0.000000E+0	8.689859E+1	-4.535247E-2	7.249326E+2	-4.713401E-2
-5.315990E+0	0.000000E+0	8.689510E+1	-2.122314E-1	7.254361E+2	-2.651199E-2
-5.314650E+0	0.000000E+0	8.671769E+1	-1.189602E-1	7.253833E+2	-5.854975E-2
-5.313320E+0	0.000000E+0	8.684429E+1	3.358560E-2	7.251398E+2	-3.203174E-2
-5.311980E+0	0.000000E+0	8.691019E+1	-7.556950E-2	7.255712E+2	7.323733E-3
-5.310620E+0	0.000000E+0	8.666820E+1	-1.182173E-2	7.253885E+2	5.003706E-3
-5.309200E+0	0.000000E+0	8.676312E+1	5.053474E-2	7.252502E+2	2.148071E-2
-5.307840E+0	0.000000E+0	8.677614E+1	-1.839410E-2	7.252661E+2	2.508607E-2
-5.306550E+0	0.000000E+0	8.666218E+1	-4.445862E-2	7.250605E+2	3.185339E-2
-5.305290E+0	0.000000E+0	8.660598E+1	1.253899E-1	7.246429E+2	3.949327E-2
-5.304000E+0	0.000000E+0	8.671184E+1	7.000322E-2	7.246238E+2	1.096370E-1
-5.302670E+0	0.000000E+0	8.654821E+1	7.784329E-2	7.243439E+2	1.097512E-1
-5.301250E+0	0.000000E+0	8.645759E+1	1.870753E-1	7.239718E+2	1.211826E-1
-5.299960E+0	0.000000E+0	8.647123E+1	1.249968E-1	7.236680E+2	1.632478E-1
-5.298680E+0	0.000000E+0	8.624083E+1	9.279755E-2	7.234651E+2	1.469843E-1
-5.297440E+0	0.000000E+0	8.628580E+1	1.813781E-1	7.230945E+2	1.718959E-1
-5.295930E+0	0.000000E+0	8.624828E+1	1.137517E-1	7.226375E+2	2.052268E-1
-5.294790E+0	0.000000E+0	8.603780E+1	8.776110E-2	7.220237E+2	1.770564E-1
-5.293380E+0	0.000000E+0	8.600385E+1	1.815773E-1	7.213501E+2	1.922810E-1
-5.292190E+0	0.000000E+0	8.603313E+1	1.063671E-1	7.208804E+2	1.938029E-1
-5.290830E+0	0.000000E+0	8.577480E+1	7.145821E-2	7.205911E+2	1.829826E-1
-5.289670E+0	0.000000E+0	8.585302E+1	1.597863E-1	7.200549E+2	1.658746E-1
-5.288300E+0	0.000000E+0	8.581253E+1	4.085719E-2	7.199591E+2	1.635375E-1
-5.286990E+0	0.000000E+0	8.563322E+1	1.797494E-2	7.192834E+2	1.272292E-1
-5.285860E+0	0.000000E+0	8.568030E+1	9.370267E-2	7.189610E+2	9.637145E-2
-5.284420E+0	0.000000E+0	8.573026E+1	-5.647058E-2	7.192151E+2	8.284665E-2
-5.283310E+0	0.000000E+0	8.565219E+1	-4.490634E-2	7.190928E+2	1.030124E-1
-5.282020E+0	0.000000E+0	8.572729E+1	-6.420427E-2	7.191528E+2	5.537298E-2
-5.280660E+0	0.000000E+0	8.578867E+1	-1.627094E-1	7.190485E+2	2.069159E-2
-5.279420E+0	0.000000E+0	8.561490E+1	-1.269483E-1	7.190007E+2	-6.568993E-3
-5.278110E+0	0.000000E+0	8.573787E+1	-1.024262E-1	7.186903E+2	1.500340E-3
-5.276970E+0	0.000000E+0	8.564582E+1	-1.391740E-1	7.189304E+2	-1.414219E-2
-5.275810E+0	0.000000E+0	8.559334E+1	-7.563563E-2	7.187985E+2	-2.688255E-2
-5.274450E+0	0.000000E+0	8.569138E+1	-3.371979E-2	7.186336E+2	1.881902E-2
-5.273160E+0	0.000000E+0	8.565376E+1	-7.446021E-2	7.190308E+2	3.655037E-2
-5.271800E+0	0.000000E+0	8.566495E+1	6.249441E-2	7.189758E+2	4.861281E-2
-5.270610E+0	0.000000E+0	8.563051E+1	-1.954886E-2	7.192230E+2	7.330561E-2
-5.269300E+0	0.000000E+0	8.546466E+1	2.995702E-2	7.188111E+2	6.515185E-2
-5.268110E+0	0.000000E+0	8.540337E+1	1.494130E-1	7.182592E+2	9.410592E-2
-5.266850E+0	0.000000E+0	8.546697E+1	9.766999E-2	7.183494E+2	1.565550E-1
-5.265590E+0	0.000000E+0	8.525183E+1	1.815793E-1	7.180987E+2	1.380365E-1
-5.264610E+0	0.000000E+0	8.530935E+1	2.011860E-1	7.175362E+2	1.824661E-1
-5.263270E+0	0.000000E+0	8.512017E+1	1.510267E-1	7.174523E+2	2.088022E-1
-5.261960E+0	0.000000E+0	8.498301E+1	1.735998E-1	7.166516E+2	1.650924E-1
-5.260620E+0	0.000000E+0	8.502417E+1	1.429716E-1	7.163557E+2	1.839450E-1
-5.259380E+0	0.000000E+0	8.483027E+1	8.757200E-2	7.158274E+2	1.813532E-1
-5.258140E+0	0.000000E+0	8.484402E+1	1.905976E-1	7.152166E+2	1.454226E-1
-5.256730E+0	0.000000E+0	8.478501E+1	5.946887E-2	7.147586E+2	1.431158E-1
-5.255600E+0	0.000000E+0	8.462508E+1	7.882251E-2	7.143659E+2	1.258834E-1
-5.254380E+0	0.000000E+0	8.466061E+1	8.039227E-2	7.142060E+2	1.435156E-1
-5.253200E+0	0.000000E+0	8.462581E+1	-1.960669E-2	7.138649E+2	1.202229E-1
-5.252060E+0	0.000000E+0	8.452115E+1	1.291346E-2	7.136418E+2	1.149290E-1
-5.250850E+0	0.000000E+0	8.459141E+1	-5.207601E-2	7.133792E+2	9.302125E-2
-5.249510E+0	0.000000E+0	8.441896E+1	-6.416627E-2	7.134105E+2	7.226117E-2
-5.248380E+0	0.000000E+0	8.447386E+1	-3.467060E-2	7.130850E+2	4.170943E-2
-5.247170E+0	0.000000E+0	8.454143E+1	-9.985472E-2	7.133070E+2	4.788231E-2
-5.245980E+0	0.000000E+0	8.441981E+1	-9.556521E-2	7.133933E+2	3.501281E-2
