Time	Topo	Amplitude	Phase
2.17062	 -1160.2	0.0538393	 -89.253
2.18624	-1160.09	0.0536021	 -89.225
2.20186	-1159.95	0.0537085	 -89.079
2.21747	-1159.97	0.0537806	 -89.329
2.23309	   -1160	  0.0538	 -89.659
2.2487	-1160.07	0.0535546	 -89.379
2.26432	-1160.07	0.0535492	 -89.661
2.27994	-1160.07	0.0535982	 -89.613
2.29555	-1159.97	0.0537189	 -89.511
2.31117	-1159.92	0.0536455	 -88.649
2.32678	-1160.03	0.0538209	 -89.507
2.3424	-1160.13	0.0535499	 -89.117
2.35802	-1160.03	0.0535414	 -88.929
2.37363	-1159.85	0.0535303	 -89.703
2.38925	-1159.91	0.0535291	 -89.319
2.40486	-1159.98	0.0537357	 -89.161
2.42048	-1160.05	0.0536657	 -89.693
2.4361	-1160.17	0.0537103	 -89.291
2.45171	-1159.99	0.0535705	 -89.445
2.46733	-1159.88	0.0535854	 -89.417
2.48294	-1159.94	0.0537223	 -89.145
2.49856	-1159.93	0.0536318	 -89.437
2.51418	-1159.94	0.0535924	 -89.385
2.52979	-1159.96	0.0536921	 -89.427
2.54541	-1160.02	0.0536227	 -89.455
2.56102	   -1160	0.0538563	 -89.641
2.57664	-1160.09	0.0537127	 -89.287
2.59226	-1160.07	0.0536434	 -89.269
2.60787	-1160.05	0.0536625	 -89.111
2.62349	-1159.93	0.0535908	 -89.665
2.6391	-1159.91	0.0537773	 -89.851
2.65472	-1159.91	0.0537082	 -89.819
2.67034	-1160.04	0.0537681	 -89.343
2.68595	 -1160.1	0.053622	 -89.659
2.70157	-1160.09	0.0537617	 -89.773
2.71718	-1159.96	0.0536341	 -89.239
2.7328	-1159.91	0.0537946	 -89.473
2.74842	-1159.89	0.0537317	 -89.323
2.76403	-1159.99	0.0536457	 -89.003
2.77965	-1160.06	0.0536184	 -89.193
2.79526	-1160.05	0.053737	 -89.487
2.81088	-1160.09	0.053671	 -89.777
2.8265	-1159.96	0.0535312	 -89.361
2.84211	   -1160	0.0535526	 -89.217
2.85773	-1160.01	0.0537793	 -89.351
2.87334	-1159.96	0.0536034	 -89.305
2.88896	-1159.99	0.0535727	 -89.333
2.90458	-1160.07	0.0537144	 -89.175
2.92019	-1159.97	0.0535782	 -89.367
2.93581	-1159.92	0.0535677	 -89.505
2.95142	-1159.98	0.0536256	 -89.051
2.96704	-1159.94	0.0534359	 -89.179
2.98266	-1159.92	0.0535604	 -89.659
2.99827	-1159.79	0.0535432	 -90.117
3.01389	-1159.87	0.0537153	 -89.437
3.0295	-1159.85	0.0537666	 -89.459
3.04512	-1159.93	0.0536897	 -89.715
3.06074	-1159.99	0.0537213	 -89.389
3.07635	-1159.77	0.053828	 -89.893
3.09197	 -1159.9	0.0535267	 -89.371
3.10758	-1159.98	0.053674	 -89.521
3.1232	-1159.86	0.0536771	 -90.145
3.13882	-1159.94	0.0536532	 -89.385
3.15443	-1159.92	0.0539019	 -89.381
3.17005	-1159.91	0.053755	 -89.553
3.18566	-1159.82	0.0538204	 -89.183
3.20128	-1159.83	0.0536979	 -89.519
3.2169	-1160.08	0.0536173	 -89.169
3.23251	   -1160	0.0537283	 -89.245
3.24813	-1159.88	0.0535996	 -89.469
3.26374	-1159.73	0.053544	 -89.073
3.27936	-1159.68	0.053888	 -89.815
3.29498	 -1159.8	0.0537709	 -89.459
3.31059	-1159.88	0.0534194	 -89.371
3.32621	-1160.09	0.0536643	 -89.413
3.34182	-1159.73	0.0537481	 -90.345
3.35744	 -1159.7	0.053463	 -89.823
3.37306	-1159.78	0.0532936	 -88.807
3.38867	-1159.92	0.0534966	 -87.967
3.40429	-1159.95	0.0537616	 -89.239
3.4199	-1160.03	0.0535098	 -88.933
3.43552	-1159.98	0.053573	 -89.505
3.45114	-1159.76	0.0536148	 -89.771
3.46675	-1159.82	0.0536469	 -89.263
3.48237	 -1159.7	0.0538592	 -89.701
3.49798	-1159.64	0.0537965	 -89.413
3.5136	-1159.87	0.0536368	 -89.097
3.52922	-1159.91	0.0535714	 -89.589
3.54483	-1160.02	0.0538393	 -89.609
3.56045	-1160.02	0.053646	 -89.501
3.57606	-1159.87	0.0537583	 -89.319
3.59168	-1159.65	0.053642	 -89.477
3.6073	-1159.67	0.0536164	 -89.823
3.62291	-1159.75	0.0534867	 -89.431
3.63853	-1159.95	0.0537171	 -89.469
3.65414	-1160.11	0.0534451	 -88.999
3.66976	-1160.14	0.0535366	 -88.919
3.68538	-1160.01	0.0535803	 -89.263
3.70099	-1159.81	0.0536833	 -89.441
3.71661	-1159.59	0.0539056	 -89.945
3.73222	 -1159.7	0.0538448	 -89.365
3.74784	-1159.85	0.0534259	 -89.301
3.76346	-1160.16	0.0537165	 -89.393
3.77907	-1160.21	0.053807	 -89.739
3.79469	-1160.15	0.0535881	 -89.465
3.8103	-1159.78	0.053596	 -89.197
3.82592	-1159.65	0.0536512	 -89.019
3.84154	-1159.53	0.0538471	 -89.899
3.85715	-1159.89	0.0536451	 -88.933
3.87277	-1160.06	0.0536587	 -89.477
3.88838	   -1160	0.0534425	 -89.547
3.904	-1160.13	0.0536666	 -89.893
3.91962	-1159.98	0.0536124	 -89.613
3.93523	-1159.79	0.0537334	 -89.437
3.95085	-1159.67	0.0537947	 -89.589
3.96646	-1159.81	0.0534489	 -89.019
3.98208	-1160.14	0.0536166	 -88.887
3.9977	-1160.09	0.0537647	 -89.777
4.01331	-1160.14	0.0536005	 -89.217
4.02893	-1159.99	0.0536252	 -89.269
4.04454	-1159.86	0.0534724	 -88.795
4.06016	-1159.83	0.0535924	 -89.225
4.07578	-1159.87	0.0534977	 -89.207
4.09139	-1159.99	0.0536024	 -89.505
4.10701	 -1160.1	0.0536674	 -89.581
4.12262	 -1160.1	0.053491	 -89.413
4.13824	-1160.19	0.0535354	 -88.771
4.15386	-1160.11	0.0537581	 -89.337
4.16947	-1159.99	0.0535424	 -89.277
4.18509	-1159.66	0.0536945	 -89.661
4.2007	-1159.36	0.0537538	 -89.879
4.21632	-1159.58	0.0537197	 -89.455
4.23194	-1159.86	0.053553	 -89.763
4.24755	-1160.17	0.0536305	 -89.501
4.26317	 -1160.4	0.0539457	 -89.301
4.27878	-1160.24	0.0536773	 -89.455
4.2944	-1159.97	0.0537353	 -89.717
4.31002	 -1159.8	0.0537348	 -89.585
4.32563	-1159.83	0.0535811	 -89.365
4.34125	-1160.06	0.0537076	 -89.249
4.35686	-1160.24	0.0535123	 -88.991
4.37248	-1160.23	0.0539133	 -89.655
4.3881	 -1160.1	0.0536555	 -89.295
4.40371	-1159.97	0.0536534	 -89.413
