GateI(1),GateV(1),DrainI(1),DrainV(1),GateI(2),GateV(2),DrainI(2),DrainV(2),GateI(3),GateV(3),DrainI(3),DrainV(3)
381.0190E-12,1.0800E+0,15.7528E-9,30.0000E-3,431.0658E-12,1.0800E+0,23.0552E-9,50.0000E-3,447.4675E-12,1.0800E+0,31.2829E-9,70.0000E-3
346.5330E-12,1.1200E+0,15.2628E-9,30.0000E-3,383.9631E-12,1.1200E+0,23.2587E-9,50.0000E-3,405.4115E-12,1.1200E+0,31.4080E-9,70.0000E-3
347.3744E-12,1.1600E+0,15.6045E-9,30.0000E-3,388.1686E-12,1.1600E+0,24.0889E-9,50.0000E-3,377.6546E-12,1.1600E+0,30.7862E-9,70.0000E-3
314.5706E-12,1.2000E+0,15.7609E-9,30.0000E-3,367.5611E-12,1.2000E+0,24.0205E-9,50.0000E-3,439.8973E-12,1.2000E+0,31.1434E-9,70.0000E-3
309.9445E-12,1.2400E+0,16.2270E-9,30.0000E-3,340.2247E-12,1.2400E+0,23.9866E-9,50.0000E-3,421.3928E-12,1.2400E+0,32.0864E-9,70.0000E-3
336.8603E-12,1.2800E+0,15.9229E-9,30.0000E-3,403.7293E-12,1.2800E+0,24.4067E-9,50.0000E-3,438.2152E-12,1.2800E+0,32.2672E-9,70.0000E-3
417.1873E-12,1.3200E+0,16.4222E-9,30.0000E-3,315.4117E-12,1.3200E+0,24.4659E-9,50.0000E-3,350.7388E-12,1.3200E+0,31.0368E-9,70.0000E-3
358.3089E-12,1.3600E+0,16.4608E-9,30.0000E-3,361.2528E-12,1.3600E+0,24.4696E-9,50.0000E-3,412.1405E-12,1.3600E+0,31.5413E-9,70.0000E-3
424.7573E-12,1.4000E+0,16.1954E-9,30.0000E-3,375.5518E-12,1.4000E+0,25.1357E-9,50.0000E-3,349.0563E-12,1.4000E+0,31.7600E-9,70.0000E-3
392.7949E-12,1.4400E+0,16.4461E-9,30.0000E-3,330.5518E-12,1.4400E+0,25.0995E-9,50.0000E-3,344.8508E-12,1.4400E+0,31.5792E-9,70.0000E-3
374.7105E-12,1.4800E+0,16.0432E-9,30.0000E-3,348.2155E-12,1.4800E+0,25.4451E-9,50.0000E-3,334.7573E-12,1.4800E+0,31.1097E-9,70.0000E-3
397.0004E-12,1.5200E+0,16.4364E-9,30.0000E-3,344.8508E-12,1.5200E+0,26.3724E-9,50.0000E-3,334.3370E-12,1.5200E+0,31.6657E-9,70.0000E-3
348.6360E-12,1.5600E+0,16.2611E-9,30.0000E-3,319.1967E-12,1.5600E+0,25.9999E-9,50.0000E-3,338.5425E-12,1.5600E+0,32.2504E-9,70.0000E-3
358.3089E-12,1.6000E+0,15.9561E-9,30.0000E-3,333.0753E-12,1.6000E+0,25.8720E-9,50.0000E-3,333.0753E-12,1.6000E+0,31.2333E-9,70.0000E-3
374.7105E-12,1.6400E+0,16.0323E-9,30.0000E-3,353.2621E-12,1.6400E+0,26.2652E-9,50.0000E-3,402.0471E-12,1.6400E+0,32.0780E-9,70.0000E-3
383.1218E-12,1.6800E+0,16.9788E-9,30.0000E-3,364.1967E-12,1.6800E+0,26.4918E-9,50.0000E-3,399.1032E-12,1.6800E+0,32.6975E-9,70.0000E-3
439.0563E-12,1.7200E+0,16.6595E-9,30.0000E-3,407.0938E-12,1.7200E+0,26.3728E-9,50.0000E-3,390.6919E-12,1.7200E+0,33.1221E-9,70.0000E-3
426.4396E-12,1.7600E+0,16.5141E-9,30.0000E-3,462.1872E-12,1.7600E+0,26.1401E-9,50.0000E-3,445.3649E-12,1.7600E+0,32.0066E-9,70.0000E-3
444.5236E-12,1.8000E+0,16.0706E-9,30.0000E-3,399.1032E-12,1.8000E+0,26.5734E-9,50.0000E-3,415.9256E-12,1.8000E+0,33.9134E-9,70.0000E-3
378.0751E-12,1.8400E+0,16.8998E-9,30.0000E-3,403.3088E-12,1.8400E+0,26.5946E-9,50.0000E-3,421.8134E-12,1.8400E+0,34.2161E-9,70.0000E-3
317.0939E-12,1.8800E+0,17.5727E-9,30.0000E-3,437.3740E-12,1.8800E+0,27.3251E-9,50.0000E-3,442.4208E-12,1.8800E+0,33.9370E-9,70.0000E-3
390.6919E-12,1.9200E+0,17.2577E-9,30.0000E-3,467.2339E-12,1.9200E+0,27.0867E-9,50.0000E-3,384.8040E-12,1.9200E+0,33.1370E-9,70.0000E-3
394.8974E-12,1.9600E+0,17.5023E-9,30.0000E-3,463.8694E-12,1.9600E+0,27.7186E-9,50.0000E-3,434.8507E-12,1.9600E+0,35.3196E-9,70.0000E-3
