GateI(1),GateV(1),DrainI(1),DrainV(1),GateI(2),GateV(2),DrainI(2),DrainV(2),GateI(3),GateV(3),DrainI(3),DrainV(3)
205.6384E-12,-9.4000E+0,4.9651E-12,30.0000E-3,216.5730E-12,-9.4000E+0,9.2288E-12,50.0000E-3,97.5541E-12,-9.4000E+0,13.4047E-12,70.0000E-3
150.1244E-12,-9.3600E+0,5.0856E-12,30.0000E-3,163.5825E-12,-9.3600E+0,9.4581E-12,50.0000E-3,200.5918E-12,-9.3600E+0,13.7372E-12,70.0000E-3
186.7131E-12,-9.3200E+0,5.1989E-12,30.0000E-3,132.4607E-12,-9.3200E+0,9.6928E-12,50.0000E-3,134.5635E-12,-9.3200E+0,14.0807E-12,70.0000E-3
163.1617E-12,-9.2800E+0,5.3223E-12,30.0000E-3,172.4141E-12,-9.2800E+0,9.9306E-12,50.0000E-3,137.5076E-12,-9.2800E+0,14.4329E-12,70.0000E-3
214.0497E-12,-9.2400E+0,5.4485E-12,30.0000E-3,156.0123E-12,-9.2400E+0,10.1751E-12,50.0000E-3,173.2552E-12,-9.2400E+0,14.7877E-12,70.0000E-3
224.9843E-12,-9.2000E+0,5.5801E-12,30.0000E-3,184.1898E-12,-9.2000E+0,10.4379E-12,50.0000E-3,288.9096E-12,-9.2000E+0,15.1697E-12,70.0000E-3
195.9657E-12,-9.1600E+0,5.7182E-12,30.0000E-3,97.9747E-12,-9.1600E+0,10.6913E-12,50.0000E-3,214.0497E-12,-9.1600E+0,15.5521E-12,70.0000E-3
166.5263E-12,-9.1200E+0,5.8554E-12,30.0000E-3,234.2366E-12,-9.1200E+0,10.9623E-12,50.0000E-3,207.7412E-12,-9.1200E+0,15.9503E-12,70.0000E-3
116.4795E-12,-9.0800E+0,6.0005E-12,30.0000E-3,181.6665E-12,-9.0800E+0,11.2338E-12,50.0000E-3,148.8627E-12,-9.0800E+0,16.3570E-12,70.0000E-3
223.7226E-12,-9.0400E+0,6.1527E-12,30.0000E-3,181.2459E-12,-9.0400E+0,11.5262E-12,50.0000E-3,248.5359E-12,-9.0400E+0,16.7795E-12,70.0000E-3
222.8815E-12,-9.0000E+0,6.3098E-12,30.0000E-3,232.9750E-12,-9.0000E+0,11.8227E-12,50.0000E-3,252.3208E-12,-9.0000E+0,17.2123E-12,70.0000E-3
238.4424E-12,-8.9600E+0,6.4597E-12,30.0000E-3,184.6103E-12,-8.9600E+0,12.1183E-12,50.0000E-3,181.2459E-12,-8.9600E+0,17.6504E-12,70.0000E-3
218.2552E-12,-8.9200E+0,6.6252E-12,30.0000E-3,142.9747E-12,-8.9200E+0,12.4327E-12,50.0000E-3,145.9186E-12,-8.9200E+0,18.1102E-12,70.0000E-3
221.6198E-12,-8.8800E+0,6.7981E-12,30.0000E-3,206.0592E-12,-8.8800E+0,12.7543E-12,50.0000E-3,165.6850E-12,-8.8800E+0,18.5800E-12,70.0000E-3
245.5918E-12,-8.8400E+0,6.9752E-12,30.0000E-3,201.0123E-12,-8.8400E+0,13.0801E-12,50.0000E-3,161.0589E-12,-8.8400E+0,19.0655E-12,70.0000E-3
234.6572E-12,-8.8000E+0,7.1552E-12,30.0000E-3,183.7692E-12,-8.8000E+0,13.4209E-12,50.0000E-3,191.3394E-12,-8.8000E+0,19.5686E-12,70.0000E-3
266.1993E-12,-8.7600E+0,7.3402E-12,30.0000E-3,140.4514E-12,-8.7600E+0,13.7676E-12,50.0000E-3,125.7316E-12,-8.7600E+0,20.0773E-12,70.0000E-3
243.9096E-12,-8.7200E+0,7.5302E-12,30.0000E-3,107.2269E-12,-8.7200E+0,14.1200E-12,50.0000E-3,135.4046E-12,-8.7200E+0,20.6045E-12,70.0000E-3
248.5359E-12,-8.6800E+0,7.7288E-12,30.0000E-3,145.0777E-12,-8.6800E+0,14.4927E-12,50.0000E-3,176.1993E-12,-8.6800E+0,21.1479E-12,70.0000E-3
276.7133E-12,-8.6400E+0,7.9396E-12,30.0000E-3,164.0028E-12,-8.6400E+0,14.8710E-12,50.0000E-3,250.2181E-12,-8.6400E+0,21.7063E-12,70.0000E-3
225.4048E-12,-8.6000E+0,8.1128E-12,30.0000E-3,133.7226E-12,-8.6000E+0,15.2593E-12,50.0000E-3,298.5825E-12,-8.6000E+0,22.2890E-12,70.0000E-3
270.8256E-12,-8.5600E+0,8.3330E-12,30.0000E-3,10.4978E-12,-8.5600E+0,15.6673E-12,50.0000E-3,190.0777E-12,-8.5600E+0,22.8765E-12,70.0000E-3
193.4422E-12,-8.5200E+0,8.5576E-12,30.0000E-3,152.6477E-12,-8.5200E+0,16.0817E-12,50.0000E-3,238.0216E-12,-8.5200E+0,23.4806E-12,70.0000E-3
