GateI(1),GateV(1),DrainI(1),DrainV(1),GateI(2),GateV(2),DrainI(2),DrainV(2),GateI(3),GateV(3),DrainI(3),DrainV(3)
177.8921E-12,-9.6800E+0,3.0614E-12,30.0000E-3,162.7520E-12,-9.6800E+0,5.8364E-12,50.0000E-3,279.2471E-12,-9.6800E+0,8.4602E-12,70.0000E-3
113.1260E-12,-9.6400E+0,3.1302E-12,30.0000E-3,205.6491E-12,-9.6400E+0,5.9764E-12,50.0000E-3,244.7611E-12,-9.6400E+0,8.6618E-12,70.0000E-3
121.9578E-12,-9.6000E+0,3.1986E-12,30.0000E-3,209.8546E-12,-9.6000E+0,6.1160E-12,50.0000E-3,277.1441E-12,-9.6000E+0,8.8587E-12,70.0000E-3
203.5463E-12,-9.5600E+0,3.2662E-12,30.0000E-3,82.8457E-12,-9.5600E+0,6.2678E-12,50.0000E-3,232.9854E-12,-9.5600E+0,9.0754E-12,70.0000E-3
106.3971E-12,-9.5200E+0,3.3366E-12,30.0000E-3,205.6491E-12,-9.5200E+0,6.4211E-12,50.0000E-3,222.8919E-12,-9.5200E+0,9.2852E-12,70.0000E-3
191.3500E-12,-9.4800E+0,3.4111E-12,30.0000E-3,217.8453E-12,-9.4800E+0,6.5847E-12,50.0000E-3,184.2004E-12,-9.4800E+0,9.5045E-12,70.0000E-3
101.7710E-12,-9.4400E+0,3.4864E-12,30.0000E-3,238.0323E-12,-9.4400E+0,6.7427E-12,50.0000E-3,147.6119E-12,-9.4400E+0,9.7371E-12,70.0000E-3
87.4720E-12,-9.4000E+0,3.5606E-12,30.0000E-3,177.4716E-12,-9.4000E+0,6.9049E-12,50.0000E-3,236.7706E-12,-9.4000E+0,9.9745E-12,70.0000E-3
121.5372E-12,-9.3600E+0,3.6441E-12,30.0000E-3,150.5558E-12,-9.3600E+0,7.0800E-12,50.0000E-3,178.7333E-12,-9.3600E+0,10.2144E-12,70.0000E-3
122.7989E-12,-9.3200E+0,3.7241E-12,30.0000E-3,253.1724E-12,-9.3200E+0,7.2526E-12,50.0000E-3,218.6864E-12,-9.3200E+0,10.4604E-12,70.0000E-3
231.3032E-12,-9.2800E+0,3.8132E-12,30.0000E-3,179.9949E-12,-9.2800E+0,7.4282E-12,50.0000E-3,158.5463E-12,-9.2800E+0,10.7196E-12,70.0000E-3
113.9673E-12,-9.2400E+0,3.8955E-12,30.0000E-3,244.3405E-12,-9.2400E+0,7.6136E-12,50.0000E-3,145.5092E-12,-9.2400E+0,10.9827E-12,70.0000E-3
132.8924E-12,-9.2000E+0,3.9897E-12,30.0000E-3,145.0886E-12,-9.2000E+0,7.8031E-12,50.0000E-3,140.8831E-12,-9.2000E+0,11.2499E-12,70.0000E-3
