G-peak omega	2D-peak omega
1581.246577	2718.580239	
1584.608815	2718.565897	
1583.599134	2721.628446	
1553.708526	2722.040569	
1585.851456	2721.764638	
1583.237424	2721.233086	
1579.856344	2720.356044	
1581.742863	2719.614286	
1255.367819	2719.868476	
1582.498724	2719.519405	
1580.893439	2718.887948	
1581.626746	2718.206559	
1588.340736	2719.154009	
1585.605253	2717.669339	
1587.989456	2719.177996	
1584.045985	2718.053375	
1587.667684	2714.010759	
1582.039042	2705.480078	
1582.02426	2710.348665	
1486.805169	2719.717571	
1582.352044	2719.915141	
1580.459757	2719.242139	
1579.662012	2719.500084	
1581.207933	2717.341556	
1581.676123	2717.514262	
1584.703984	2717.89187	
1469.145373	2718.458808	
1582.62008	2718.116282	
1582.762103	2718.401136	
1582.942289	2718.594189	
1586.252193	2721.341061	
1582.598141	2718.353385	
1580.634297	2716.214682	
1577.625945	2706.884636	
1580.37973	2701.393052	
1581.376713	2719.029057	
1581.150267	2719.442445	
1582.010335	2717.136065	
1475.256088	2716.830686	
1583.468506	2719.426211	
1585.929778	2719.893414	
1582.741661	2719.388678	
1482.30665	2719.36321	
1586.656307	2721.713824	
1584.073708	2721.838705	
1468.640771	2720.682646	
1579.837931	2718.702371	
1576.104377	2716.132155	
1577.218035	2710.092365	
1582.550792	2719.367684	
1580.80452	2716.977602	
1472.900904	2716.821333	
1581.155704	2718.526916	
1583.753993	2720.063633	
1578.371588	2719.454637	
1578.054405	2719.374823	
1539.585168	2716.930629	
1578.181609	2718.829959	
1582.020616	2719.704496	
1582.857193	2719.740804	
1581.574941	2719.739074	
1583.554332	2718.818013	
1485.536828	2719.916068	
1582.513806	2718.942061	
1579.132368	2716.976278	
1581.239273	2717.841088	
1583.29836	2719.093373	
1583.779275	2720.266681	
1583.055353	2720.982735	
1586.005363	2722.374903	
1586.812059	2721.311925	
1581.661548	2720.825092	
1587.189588	2719.609716	
1579.148828	2718.862672	
1583.394116	2718.526378	
1580.881068	2717.260597	
1582.169126	2719.718151	
1580.111741	2719.423857	
1583.467476	2720.804923	
1582.589661	2721.294001	
1585.459753	2721.361431	
1585.339359	2721.100819	
1582.263103	2720.878391	
1579.90946	2719.751951	
1580.835861	2719.014578	
1581.308041	2718.485489	
1580.380826	2719.051389	
1585.509839	2719.339344	
1583.099215	2720.464626	
1585.605179	2722.062997	
1491.822913	2722.99933	
1583.329744	2720.632539	
1582.780224	2720.964527	
1588.649976	2721.43276	
1582.038016	2719.021755	
1580.130706	2719.999324	
1584.905881	2719.926233	
1583.728348	2721.038124	
1584.874818	2720.886931	
1575.624218	2721.358552	
1581.878538	2721.298106	
1583.291691	2720.213761	
1578.968418	2720.474935	
1584.567665	2720.564109	
1583.742953	2721.570211	
1584.168937	2721.393993	
1586.288052	2721.594181	
1582.368947	2721.146923	
1582.208507	2720.698919	
1468.22397	2720.504275	
1581.548444	2721.377762	
1584.553034	2723.158275	
1579.373555	2722.367229	
1581.320058	2721.820716	
1582.097075	2722.398033	
1580.652689	2720.906222	
1582.428465	2720.958748	
1583.688594	2720.940862	
1584.935098	2721.701388	
1581.088269	2722.906935	
1472.14175	2721.186587	
1576.91135	2721.795785	
