Time	Topo	Amplitude	Phase
0.015616	-1124.01	0.0506538	 -81.079
0.031232	-1122.07	0.0553849	 -93.673
0.046848	-1120.68	0.0517007	 -89.343
0.062464	-1121.44	0.0511593	 -85.847
0.07808	-1094.62	 0.05496	 -93.823
0.093696	-1096.35	0.0518304	 -88.463
0.109312	-1099.52	0.0503923	 -78.809
0.124928	-1097.97	0.055584	 -93.947
0.140544	-1096.64	0.0544748	 -93.263
0.15616	-1098.52	0.050572	 -82.809
0.171776	-1121.68	0.0546559	 -93.795
0.187392	-1123.63	0.0554281	 -93.915
0.203008	-1125.09	0.0537226	 -91.901
0.218624	-1126.01	0.0532274	 -91.739
0.23424	 -1128.1	0.0509377	 -83.365
0.249856	 -1129.2	0.052727	 -83.653
0.265472	-1128.51	0.0560726	 -93.527
0.281088	-1128.17	0.0553027	 -93.537
0.296704	-1128.85	0.0507978	 -85.173
0.31232	-1131.45	0.0561898	 -91.453
0.327936	-1127.19	0.0536469	 -92.823
0.343552	-1116.08	0.0496646	 -74.413
0.359168	-1104.03	0.0556146	 -93.915
0.374784	-1103.34	0.0545994	 -93.361
0.3904	-1106.69	0.0529202	 -86.991
0.406016	-1107.31	0.0534456	 -91.197
0.421632	-1106.35	0.0545803	 -93.053
0.437248	-1108.13	0.0503936	 -83.857
0.452864	-1132.35	0.0548575	 -93.817
0.46848	-1134.53	0.050595	 -80.473
0.484096	-1133.97	0.0557044	 -93.543
0.499712	-1132.15	0.0531403	 -91.383
0.515328	-1131.73	0.0547953	 -93.281
0.530944	-1102.25	0.0548272	 -95.419
0.54656	-1108.54	0.0554177	 -87.399
0.562176	 -1106.9	0.0564369	 -93.793
0.577792	-1108.94	0.052979	 -80.055
0.593408	-1104.14	0.0510845	 -88.281
0.609024	-1105.77	0.0518877	 -81.401
0.62464	 -1129.1	0.0550364	 -93.893
0.640256	-1128.61	0.0505341	 -82.179
0.655872	-1126.17	0.0545019	 -93.037
0.671488	-1128.51	0.0519764	 -81.085
0.687104	-1125.16	0.0541621	 -92.675
0.70272	-1127.34	0.0510599	 -80.619
0.718336	-1123.89	0.0560827	 -94.069
0.733952	-1123.45	0.0509617	 -86.655
0.749568	-1095.84	0.0540034	 -92.171
0.765184	-1094.68	0.0531385	 -90.713
0.7808	-1094.85	0.0522913	 -90.601
0.796416	-1093.77	0.0518219	 -85.575
0.812032	 -1095.9	0.0556881	 -93.809
0.827648	-1095.64	0.050611	 -85.211
0.843264	-1099.62	0.0549535	 -85.847
0.85888	-1124.87	0.0557223	 -90.479
0.874496	-1122.06	0.0555786	 -93.723
0.890112	-1121.09	0.0543032	 -93.001
0.905728	-1121.38	0.0540515	 -92.611
0.921344	-1120.41	0.0531069	 -91.753
0.93696	-1094.93	0.0552002	 -93.911
0.952576	 -1096.2	0.0519483	 -88.039
0.968192	-1097.15	0.050197	 -85.373
0.983808	-1098.76	0.0569017	 -94.097
0.999424	-1097.19	0.0537573	 -92.083
1.01504	-1096.94	0.0522672	 -90.317
1.03066	-1125.09	0.0568819	 -94.159
1.04627	-1125.47	0.0519131	 -86.183
1.06189	-1128.32	0.0539062	 -83.425
1.0775	-1125.82	0.0558583	 -94.103
1.09312	-1125.42	0.0516375	 -89.697
1.10874	-1126.32	0.0516176	 -88.107
1.12435	-1125.61	0.0519385	 -90.433
1.13997	-1129.45	0.0519187	 -84.697
1.15558	 -1126.5	0.051966	 -90.373
1.1712	-1125.51	0.0552522	 -92.809
1.18682	-1129.95	0.056195	 -93.883
1.20243	-1124.23	0.048747	 -79.505
1.21805	-1105.09	0.0559116	 -92.517
1.23366	-1105.87	0.0562129	 -93.837
1.24928	-1106.53	0.0549704	 -93.067
1.2649	-1106.63	0.0553864	 -93.565
1.28051	-1106.08	0.0534705	 -92.055
1.29613	-1109.28	0.0509585	 -80.379
1.31174	-1132.73	0.0569804	 -94.255
1.32736	-1132.66	0.0507458	 -85.009
1.34298	-1132.82	0.0564491	 -94.191
1.35859	-1134.89	0.0510951	 -81.529
1.37421	-1132.94	0.0558939	 -93.943
1.38982	-1118.85	0.0480198	 -83.649
1.40544	-1107.99	0.0546365	 -84.627
1.42106	-1106.68	0.0553012	 -90.825
1.43667	-1101.33	0.0538593	 -92.711
1.45229	-1105.61	0.0564993	 -94.087
1.4679	-1101.31	0.0527975	 -92.171
1.48352	-1129.99	0.0569025	 -94.271
1.49914	 -1127.8	0.0512413	 -87.149
1.51475	 -1127.6	0.0561335	 -93.901
1.53037	-1126.29	0.0502233	 -84.423
1.54598	-1124.12	0.0551071	 -93.971
1.5616	-1126.09	0.0510106	 -83.453
1.57722	-1125.59	0.0546538	 -88.471
1.59283	-1124.11	0.0542513	 -91.445
1.60845	-1099.98	0.0536757	 -85.569
1.62406	 -1095.4	0.0550596	 -93.607
1.63968	-1094.16	0.0531329	 -92.061
1.6553	-1096.42	0.0506889	 -83.221
1.67091	-1098.12	0.0552358	 -86.985
1.68653	-1097.09	0.056441	 -93.047
1.70214	-1094.37	0.0519635	 -90.471
1.71776	-1120.42	0.0525515	 -91.709
1.73338	-1125.27	0.0540257	 -85.099
1.74899	-1122.05	0.0553423	 -93.561
1.76461	-1122.63	0.0550832	 -92.493
1.78022	-1121.54	0.0547366	 -93.243
1.79584	-1097.13	0.0512686	 -83.747
1.81146	 -1097.9	0.0514975	 -81.061
1.82707	-1097.95	0.0558475	 -93.907
1.84269	-1099.16	0.0504287	 -78.497
1.8583	 -1097.5	0.0555772	 -93.669
1.87392	-1096.37	0.0534954	 -92.411
1.88954	 -1119.8	0.0489603	 -85.005
1.90515	 -1122.5	0.052044	 -90.685
1.92077	-1126.31	0.0511908	 -83.183
1.93638	-1128.64	0.0548185	 -86.593
1.952	-1127.26	0.0556685	 -93.369
1.96762	-1127.08	0.0553042	 -93.145
1.98323	-1126.77	0.0544136	 -92.683
1.99885	-1127.66	0.0507836	 -85.955
2.01446	-1128.45	0.0509793	 -85.351
2.03008	-1127.06	0.0479926	 -80.209
2.0457	 -1129.6	0.0554667	 -92.545
2.06131	-1124.25	0.0557112	 -94.401
2.07693	-1104.69	0.0557095	 -91.649
2.09254	-1104.94	0.0563036	 -94.033
2.10816	-1105.42	0.0529398	 -90.537
2.12378	 -1106.5	0.053151	 -90.883
2.13939	-1107.55	0.0502061	 -83.927
2.15501	 -1108.7	0.0529652	 -83.449
2.17062	-1120.94	0.0563065	 -94.111
2.18624	-1132.84	0.0514354	 -87.159
2.20186	-1135.57	  0.0545	 -83.743
2.21747	-1131.87	0.0545025	 -93.183
2.23309	 -1132.5	0.0534899	 -91.221
2.2487	-1120.98	0.0487331	 -85.135
2.26432	-1105.52	0.0496749	 -83.473
2.27994	-1106.46	0.0566058	 -94.157
2.29555	-1104.34	0.0556292	 -94.033
2.31117	-1107.31	0.0562247	 -90.765
2.32678	-1102.81	0.0545795	 -93.373
2.3424	-1117.54	0.0570881	 -94.391
2.35802	 -1127.3	0.0533142	 -91.933
2.37363	-1129.43	0.0516541	 -80.445
2.38925	-1127.37	0.0561406	 -93.639
2.40486	-1125.54	0.0512508	 -87.379
2.42048	-1127.65	0.0534017	 -84.449
2.4361	-1122.13	0.052775	 -91.757
2.45171	 -1124.8	0.0533479	 -84.059
2.46733	 -1106.9	0.054245	 -93.449
2.48294	-1094.96	0.0521843	 -90.331
2.49856	-1096.75	0.0512538	 -83.903
2.51418	-1098.59	0.0515026	 -81.131
2.52979	 -1096.8	0.0508559	 -81.305
2.54541	-1097.79	0.0551402	 -87.939
2.56102	-1095.32	0.0547867	 -93.635
2.57664	-1119.46	0.0563011	 -94.439
2.59226	-1124.06	0.0557691	 -92.669
2.60787	 -1124.6	0.0523403	 -80.613
2.62349	-1122.68	0.0564677	 -93.407
2.6391	-1120.54	0.0517013	 -88.561
2.65472	-1098.21	0.0557791	 -89.107
2.67034	-1096.73	0.055949	 -93.747
2.68595	-1098.51	0.0556428	 -93.515
2.70157	-1093.37	0.0534161	 -92.639
2.71718	-1096.78	0.056126	 -94.115
2.7328	-1096.63	0.0525756	 -90.299
2.74842	-1117.77	0.0563841	 -93.123
2.76403	 -1126.6	0.0557062	 -89.585
2.77965	-1126.43	0.0554028	 -91.463
2.79526	-1125.88	0.0553668	 -93.621
2.81088	-1125.86	0.0539495	 -92.683
2.8265	-1126.24	0.0519889	 -88.879
2.84211	-1126.41	0.0521729	 -89.427
2.85773	-1126.54	 0.05094	 -86.989
2.87334	-1130.23	0.0532546	 -83.303
2.88896	 -1131.2	0.0554942	 -88.641
2.90458	-1130.38	0.0515995	 -82.599
2.92019	-1131.96	0.0532583	 -85.977
2.93581	-1101.86	0.052437	 -91.313
2.95142	-1105.82	0.0518565	 -81.905
2.96704	-1106.03	0.0560923	 -93.411
2.98266	-1106.81	0.0561612	 -91.751
2.99827	-1107.82	0.0560962	 -93.943
3.01389	-1106.43	0.0514015	 -87.715
3.0295	 -1112.3	0.0568928	 -94.321
3.04512	-1131.77	0.0530924	 -91.599
3.06074	-1135.88	0.053565	 -83.135
3.07635	 -1132.9	0.0549027	 -93.323
3.09197	-1132.25	0.0534859	 -91.823
3.10758	-1123.14	0.0561139	 -94.645
3.1232	-1102.46	0.0522744	 -91.695
3.13882	 -1106.7	0.0504421	 -82.211
3.15443	-1105.44	0.0563074	 -94.395
3.17005	-1106.81	0.0566481	 -93.537
3.18566	 -1102.2	0.0524526	 -91.375
3.20128	-1108.68	0.0555093	 -90.843
3.2169	 -1125.3	0.0560731	 -94.579
3.23251	-1128.32	0.0510184	 -80.423
3.24813	-1125.89	0.0554329	 -93.765
3.26374	-1126.27	0.0506178	 -85.913
3.27936	-1129.65	0.0529166	 -82.005
3.29498	-1124.38	0.0529764	 -91.589
3.31059	-1125.26	0.0531294	 -81.655
3.32621	-1120.15	0.0535682	 -89.343
3.34182	-1094.78	0.0517616	 -87.827
3.35744	-1097.36	0.0506066	 -80.889
3.37306	-1100.25	0.0551852	 -86.135
3.38867	 -1095.1	0.051084	 -88.513
3.40429	 -1097.7	0.056301	 -93.327
3.4199	-1093.57	0.0542033	 -93.445
3.43552	-1116.06	0.0539887	 -88.655
3.45114	-1123.32	0.0528752	 -84.175
3.46675	-1124.21	0.0524772	 -81.813
3.48237	-1123.64	0.0560863	 -93.529
3.49798	-1123.05	0.0506829	 -84.925
3.5136	-1103.97	0.051625	 -87.529
3.52922	-1099.51	0.055061	 -93.715
3.54483	-1093.95	0.0543459	 -93.607
3.56045	-1088.96	0.0514144	 -85.897
3.57606	-1092.05	0.0521743	 -90.149
3.59168	-1100.08	0.0558645	 -93.911
3.6073	 -1109.7	0.0572255	 -94.233
3.62291	-1131.72	0.055658	 -88.659
3.63853	-1125.05	0.0563418	 -93.949
3.65414	-1120.51	0.0537822	 -92.693
3.66976	-1122.19	0.0515912	 -87.299
3.68538	-1124.03	0.0516828	 -87.899
3.70099	-1128.63	0.0514054	 -84.623
3.71661	-1132.31	0.0527225	 -84.129
3.73222	-1134.14	0.056011	 -90.893
3.74784	-1128.59	0.0553306	 -93.725
3.76346	-1125.71	0.0501419	 -85.585
3.77907	-1124.66	0.0512459	 -85.277
3.79469	-1099.13	0.0542694	 -93.481
3.8103	-1105.66	0.051582	 -83.737
3.82592	-1109.21	0.0521264	 -81.589
3.84154	-1108.67	0.055203	 -90.907
3.85715	-1107.12	0.0554382	 -94.101
3.87277	-1105.16	0.0528163	 -91.317
3.88838	-1109.23	0.0552927	 -88.403
3.904	-1133.57	0.0501811	 -82.057
3.91962	-1133.88	0.0523103	 -86.611
3.93523	-1132.56	0.0535432	 -92.257
3.95085	-1135.39	0.0508727	 -82.123
3.96646	-1134.13	0.0560558	 -91.179
3.98208	-1103.67	0.0502718	 -86.375
3.9977	-1106.24	0.0528432	 -83.243
4.01331	-1106.48	0.0557675	 -93.417
4.02893	-1105.97	0.0494949	 -78.883
4.04454	-1105.51	0.0514031	 -82.589
4.06016	-1107.02	0.0525869	 -81.039
4.07578	-1132.77	0.0549971	 -89.449
4.09139	-1129.09	0.0507988	 -88.179
4.10701	-1122.82	0.0559295	 -92.205
4.12262	-1119.04	0.0537062	 -92.353
4.13824	-1126.78	0.0506594	 -80.785
4.15386	-1126.64	0.0553715	 -93.933
4.16947	 -1129.4	0.0541248	 -83.691
4.18509	 -1125.2	0.0535226	 -92.367
4.2007	-1095.95	0.0505372	 -82.981
4.21632	-1095.79	0.0557343	 -89.487
4.23194	-1093.65	0.0548408	 -93.403
4.24755	-1097.29	0.0566975	 -93.813
4.26317	 -1095.5	0.0516983	 -89.759
4.27878	-1099.62	0.0543985	 -85.431
4.2944	-1108.69	0.055713	 -94.863
4.31002	-1123.11	0.0499504	 -82.099
4.32563	-1121.81	0.0551536	-116.831
4.34125	 -1118.9	0.051668	 -89.575
4.35686	-1122.63	0.0523782	 -81.075
4.37248	-1106.28	0.0539888	 -93.359
4.3881	-1097.28	0.0560761	 -94.083
4.40371	 -1098.1	0.0523483	 -90.775
4.41933	-1098.81	0.0519559	 -84.161
4.43494	 -1098.5	0.0562395	 -93.767
4.45056	-1091.56	0.0550441	 -94.187
4.46618	-1096.36	0.056787	 -94.439
4.48179	-1123.33	0.0508851	 -87.033
4.49741	 -1121.9	0.0537909	 -89.689
4.51302	-1127.78	 0.05589	 -92.073
4.52864	-1125.45	0.053714	 -92.687
4.54426	-1127.14	0.0507364	 -85.449
4.55987	-1126.86	0.0513466	 -86.841
4.57549	-1126.06	0.0505958	 -85.305
4.5911	-1127.88	0.0513437	 -86.011
4.60672	-1130.83	0.0543365	 -85.079
4.62234	-1128.98	0.0547273	 -93.369
4.63795	-1130.78	0.0510702	 -83.459
4.65357	-1103.46	0.056971	 -94.209
4.66918	-1103.08	0.0491321	 -81.159
4.6848	-1103.36	0.0519431	 -89.357
4.70042	-1104.47	0.052038	 -89.417
4.71603	-1110.28	0.053951	 -82.787
4.73165	-1106.11	0.0549151	 -93.821
4.74726	-1108.71	0.0503671	 -84.071
4.76288	-1136.48	0.0518591	 -81.901
4.7785	 -1134.1	0.0520954	 -85.583
4.79411	-1132.22	0.0512834	 -87.409
4.80973	-1131.62	0.0521257	 -90.751
4.82534	-1134.16	0.050444	 -80.199
4.84096	-1104.22	0.0551674	 -94.135
4.85658	-1105.84	0.0507718	 -85.173
4.87219	-1105.92	0.0499862	 -81.715
4.88781	-1106.01	0.0557861	 -93.799
4.90342	-1102.48	0.0514091	 -89.083
4.91904	-1102.51	0.0511903	 -87.359
4.93466	-1131.43	0.0542905	 -85.467
4.95027	-1129.56	0.0556868	 -90.153
4.96589	 -1125.4	0.053949	 -92.645
4.9815	-1127.15	0.0499501	 -79.879
4.99712	-1127.36	0.0562512	 -92.833
5.01274	-1124.42	0.0550536	 -93.443
5.02835	-1121.74	0.0532829	 -92.303
5.04397	-1125.92	0.0551339	 -87.673
5.05958	-1097.95	0.0558203	 -89.267
5.0752	 -1094.4	0.0537641	 -92.537
5.09082	-1097.17	 0.05086	 -83.421
5.10643	-1097.38	0.0530104	 -95.563
5.12205	-1096.11	0.0510973	 -87.177
5.13766	-1098.36	0.0535031	 -83.993
5.15328	-1109.14	0.0570863	 -94.327
5.1689	-1121.01	0.0534765	 -92.285
5.18451	-1121.52	0.0527271	 -82.603
5.20013	-1120.04	0.0518433	 -89.627
5.21574	-1124.12	0.0558625	 -89.805
5.23136	-1125.75	0.0529533	 -81.697
5.24698	 -1098.9	0.0565024	 -92.013
5.26259	-1097.22	0.0542678	 -92.673
5.27821	-1099.85	0.0518301	 -80.927
5.29382	-1097.88	0.0563058	 -93.599
5.30944	-1094.66	0.0507635	 -86.383
5.32506	-1097.38	0.0504059	 -82.073
5.34067	-1122.36	0.0541914	 -93.095
5.35629	-1125.93	0.0505147	 -82.437
5.3719	-1127.78	0.0553423	 -89.231
5.38752	-1126.99	0.0515571	 -85.323
5.40314	-1126.36	0.0510268	 -84.729
5.41875	-1127.36	0.0509287	 -83.109
5.43437	 -1130.2	0.0524383	 -82.711
5.44998	-1129.72	0.0517151	 -81.631
5.4656	-1129.37	0.0555457	 -88.939
5.48122	-1129.53	0.0548731	 -92.493
5.49683	-1130.22	0.0539805	 -90.685
5.51245	-1101.19	0.0450076	 -78.883
5.52806	-1104.48	 0.05537	 -93.575
5.54368	-1104.02	0.0522341	 -89.799
5.5593	-1104.94	0.0509591	 -88.057
5.57491	-1109.74	0.0534725	 -83.337
5.59053	-1107.23	0.0557327	 -93.621
5.60614	-1108.13	0.0518851	 -87.437
5.62176	-1135.94	0.0497105	 -80.311
5.63738	-1133.77	0.0535035	 -90.327
5.65299	-1132.03	0.0530426	 -91.103
5.66861	-1130.49	0.0561444	 -94.345
5.68422	-1133.99	0.0563642	 -93.029
5.69984	 -1105.1	0.057125	 -94.327
5.71546	-1106.48	0.0507422	 -83.095
5.73107	 -1107.7	0.0563678	 -93.333
5.74669	-1105.94	0.0553072	 -93.523
5.7623	-1102.37	0.0514671	 -90.023
5.77792	-1102.29	0.0506916	 -86.639
5.79354	-1131.96	0.0557295	 -89.477
5.80915	-1126.43	0.0542202	 -92.661
5.82477	-1124.94	0.0529681	 -91.463
5.84038	-1127.15	0.0508921	 -83.011
5.856	-1128.43	0.0550013	 -87.953
5.87162	-1124.18	0.0551626	 -93.855
5.88723	 -1124.5	 0.05063	 -85.543
5.90285	-1125.65	0.0540372	 -86.831
5.91846	-1097.72	0.0551499	 -86.995
5.93408	-1095.39	0.0563719	 -94.065
5.9497	-1095.02	 0.05279	 -91.355
5.96531	 -1096.9	0.0563283	 -92.111
5.98093	-1098.44	0.0561626	 -92.153
5.99654	 -1095.9	0.055288	 -93.729
6.01216	-1099.73	0.0565456	 -92.205
6.02778	-1120.39	0.0525302	 -91.529
6.04339	-1122.49	0.0533518	 -87.843
6.05901	-1123.82	0.0534056	 -84.141
6.07462	-1123.76	0.0559544	 -91.757
6.09024	-1117.81	0.0529397	 -92.679
6.10586	-1098.13	0.0530109	 -81.571
6.12147	 -1095.8	0.0517837	 -89.539
6.13709	-1096.74	0.0498867	 -83.277
6.1527	   -1099	0.0560038	 -91.683
6.16832	-1096.47	0.0554602	 -93.669
6.18394	-1096.96	0.0508856	 -86.935
6.19955	-1123.44	0.0550769	 -93.635
6.21517	-1127.67	0.0555533	 -89.379
6.23078	 -1126.6	0.051002	 -81.453
6.2464	-1126.82	0.0506846	 -83.023
6.26202	-1127.74	0.0511971	 -81.771
6.27763	-1128.92	0.0543661	 -84.787
6.29325	-1128.77	0.0560493	 -92.345
6.30886	-1128.13	0.0554355	 -93.551
6.32448	-1127.22	0.0528147	 -91.373
6.3401	-1128.56	0.0525505	 -90.443
6.35571	 -1131.2	0.0520139	 -82.701
6.37133	-1108.67	0.0471499	 -81.925
6.38694	-1103.66	0.0554193	 -93.635
6.40256	-1104.87	0.0507887	 -84.137
6.41818	-1108.57	0.0525326	 -81.971
6.43379	-1106.17	0.0514641	 -89.211
6.44941	-1106.54	0.0507195	 -86.863
6.46502	-1109.47	0.0568099	 -93.425
6.48064	-1133.86	0.0562722	 -93.145
6.49626	-1133.04	0.0505376	 -84.203
6.51187	-1133.85	0.0561255	 -93.373
6.52749	-1130.28	0.0510443	 -87.969
6.5431	-1134.31	0.0562457	 -92.635
6.55872	 -1105.6	0.0519907	 -91.375
