Time	Topo	Amplitude	Phase
0.0015616	-1097.59	0.0552811	 -92.935
0.0031232	   -1098	0.0507227	 -85.665
0.0046848	-1101.36	0.055376	 -86.681
0.0062464	-1097.87	0.0551627	 -92.935
0.007808	-1096.89	0.0502998	 -85.155
0.0093696	-1100.43	0.0565797	 -91.191
0.0109312	-1092.21	0.0529685	 -92.443
0.0124928	-1099.19	0.0556216	 -87.303
0.0140544	-1093.33	0.0550135	 -93.491
0.015616	-1101.13	0.0551968	 -84.549
0.0171776	-1093.22	0.0548288	 -93.659
0.0187392	-1100.04	0.0530076	 -79.359
0.0203008	-1093.38	0.055673	 -94.045
0.0218624	-1100.03	0.051924	 -78.255
0.023424	-1097.08	0.0561177	 -93.421
0.0249856	-1095.59	0.0509832	 -88.401
0.0265472	-1099.89	0.0545706	 -84.795
0.0281088	-1096.25	0.0553847	 -93.019
0.0296704	 -1094.5	0.0509351	 -87.519
0.031232	-1099.19	0.0560698	 -88.589
0.0327936	-1094.14	0.0545182	 -93.043
0.0343552	-1097.11	0.0505572	 -80.935
0.0359168	 -1098.1	0.056054	 -90.577
0.0374784	-1094.38	0.0545275	 -92.531
0.03904	-1096.47	0.0505157	 -82.051
0.0406016	-1097.99	0.0555107	 -88.327
0.0421632	-1095.44	0.0552734	 -92.983
0.0437248	-1094.55	0.0508329	 -86.991
0.0452864	-1098.19	0.0544126	 -83.965
0.046848	-1095.21	0.0556753	 -93.397
0.0484096	-1095.27	0.0503055	 -84.703
0.0499712	-1098.54	0.0558384	 -87.743
0.0515328	-1094.34	0.0551854	 -93.267
0.0530944	-1095.25	0.0508362	 -85.361
0.054656	-1097.01	0.0529013	 -81.123
0.0562176	-1092.25	0.0559158	 -94.171
0.0577792	-1101.96	0.0571602	 -93.561
0.0593408	-1111.76	0.0571422	 -93.709
0.0609024	-1121.56	0.0570238	 -93.323
0.062464	-1121.08	0.0489649	 -84.171
0.0640256	-1124.02	0.0566757	 -92.931
0.0655872	-1117.73	0.0516207	 -90.045
0.0671488	-1123.76	0.0564358	 -90.621
0.0687104	-1118.63	0.0543871	 -92.711
0.070272	   -1122	0.0504954	 -79.445
0.0718336	-1121.37	0.0562446	 -92.977
0.0733952	-1119.53	0.0538637	 -91.463
0.0749568	-1120.92	0.0505525	 -82.129
0.0765184	-1121.45	0.0561078	 -91.737
0.07808	-1118.92	0.0516499	 -87.247
0.0796416	-1122.29	0.0552882	 -88.935
0.0812032	-1120.61	0.0547162	 -91.597
0.0827648	-1119.27	0.0522285	 -88.751
0.0843264	-1121.84	0.0520496	 -81.649
0.085888	   -1121	0.0559365	 -92.327
0.0874496	-1119.43	0.0535151	 -90.857
0.0890112	-1120.96	0.0511647	 -81.561
0.0905728	-1119.87	0.0562297	 -93.169
0.0921344	-1118.82	0.0526989	 -89.997
0.093696	 -1120.8	0.0517536	 -82.609
0.0952576	 -1120.8	0.055341	 -89.883
0.0968192	-1118.07	0.0539869	 -91.645
0.0983808	-1119.96	0.0504912	 -80.977
0.0999424	-1120.58	0.0563246	 -92.475
0.101504	-1118.13	0.0541245	 -91.947
0.103066	-1119.78	0.050797	 -82.323
0.104627	-1120.42	0.0562784	 -92.563
0.106189	-1117.31	0.0538488	 -92.103
0.10775	-1120.61	0.0516097	 -81.673
0.109312	-1120.65	0.0559591	 -92.209
0.110874	 -1117.9	0.0537147	 -91.463
0.112435	-1119.92	0.0504319	 -80.857
0.113997	-1120.11	0.0562362	 -92.753
0.115558	-1117.78	0.0538489	 -91.765
0.11712	-1120.04	0.0512619	 -81.575
0.118682	-1120.17	0.0560127	 -92.381
0.120243	-1116.58	0.0534314	 -91.915
0.121805	-1120.38	0.051922	 -81.807
0.123366	-1119.73	0.0558306	 -92.065
0.124928	-1117.32	0.0526862	 -89.659
0.12649	-1120.47	0.0518281	 -80.581
0.128051	-1118.94	0.0558916	 -92.917
0.129613	-1117.95	0.0532557	 -90.545
0.131174	-1119.71	0.0516606	 -82.749
0.132736	-1120.37	0.0557258	 -90.167
0.134298	 -1116.6	0.0541985	 -92.325
0.135859	-1118.23	0.0504371	 -82.581
0.137421	-1119.95	0.0561753	 -90.453
0.138982	-1116.79	0.0542013	 -92.111
0.140544	-1118.02	0.0502357	 -81.905
0.142106	-1119.22	0.0559731	 -90.495
0.143667	-1116.55	0.0542492	 -92.073
0.145229	-1118.28	0.0514523	 -84.557
0.14679	-1118.99	0.0544092	 -87.701
0.148352	-1116.96	0.0548995	 -92.419
0.149914	 -1116.2	0.0508735	 -86.467
0.151475	 -1119.3	0.0544122	 -84.771
0.153037	-1117.35	0.0553065	 -92.381
0.154598	-1116.43	0.0525895	 -88.285
0.15616	-1117.79	0.0519261	 -81.677
0.157722	-1117.79	0.0562681	 -92.707
0.159283	-1115.09	0.0535428	 -91.697
0.160845	-1116.49	0.0514962	 -83.359
0.162406	-1115.89	0.0550551	 -90.541
0.163968	-1115.54	0.0525677	 -87.885
0.16553	-1116.49	0.0516435	 -82.757
0.167091	-1117.11	0.056108	 -91.631
0.168653	-1114.26	0.0542386	 -92.185
0.170214	-1116.29	0.0510651	 -81.635
0.171776	-1116.61	0.0561078	 -92.465
0.173338	-1113.45	0.0531031	 -91.191
0.174899	-1117.72	0.0529065	 -82.211
0.176461	-1112.93	0.0550592	 -93.039
0.178022	-1117.87	0.0520623	 -81.075
0.179584	-1117.22	0.0559218	 -91.789
0.181146	-1114.39	0.0540908	 -92.061
0.182707	-1113.91	0.0473928	 -78.311
0.184269	-1106.71	0.0561113	 -94.031
0.18583	 -1099.9	0.0414247	 -72.501
0.187392	 -1091.1	0.0489546	 -75.685
0.188954	-1084.68	0.0562435	 -94.059
0.190515	-1088.03	0.0515965	 -85.383
0.192077	-1089.02	0.052314	 -82.861
0.193638	-1089.18	0.0558634	 -91.865
0.1952	-1087.49	0.0533699	 -90.803
0.196762	-1089.14	0.0506069	 -80.295
0.198323	-1090.05	0.0562612	 -91.855
