250;1;0
290;2;0
330;1;0
370;0;0
410;0;0
450;4;0
490;1;0
530;3;0
570;1;0
610;1;0
650;1;0
690;2;0
730;1;0
770;2;0
810;0;0
850;2;0
890;2;0
930;0;0
970;2;0
1010;0;0
1050;2;10
1090;2;22
1130;2;26
1170;13;38
1210;45;52
1250;185;72
1290;416;88
1330;863;112
1370;1268;164
1410;1664;208
1450;2191;272
1490;2548;320
1530;2916;380
1570;3112;712
1610;3305;920
1650;3412;1240
1690;3415;1640
1730;3466;2220
1770;3541;3160
1810;3681;4560
1850;3746;6160
1890;3700;6320
1930;3994;6400
1970;5294;6400
2000;7850;6400
