Raman shift DATA (1/cm)	CCD Counts DATA	Raman shift FIT (1/cm)	CCD Counts FIT
1389.313682	841	1389.313682	839.1861163	
1390.476426	840	1390.476426	839.1494478	
1391.638978	839	1391.638978	839.1162619	
1392.801339	841	1392.801339	839.0861317	
1393.96351	839	1393.96351	839.0586934	
1395.125488	837	1395.125488	839.0336359	
1396.287276	837	1396.287276	839.0106916	
1397.448872	840	1397.448872	838.9896296	
1398.610278	842	1398.610278	838.9702496	
1399.771492	840	1399.771492	838.9523771	
1400.932515	839	1400.932515	838.9358599	
1402.093348	840	1402.093348	838.9205643	
1403.253989	838	1403.253989	838.9063728	
1404.414439	839	1404.414439	838.8931816	
1405.574699	839	1405.574699	838.880899	
1406.734767	838	1406.734767	838.8694434	
1407.894645	839	1407.894645	838.8587421	
1409.054332	839	1409.054332	838.8487303	
1410.213828	838	1410.213828	838.8393502	
1411.373134	839	1411.373134	838.8305495	
1412.532248	839	1412.532248	838.8222817	
1413.691173	842	1413.691173	838.8145044	
1414.849906	839	1414.849906	838.8071796	
1416.008449	839	1416.008449	838.800273	
1417.166801	839	1417.166801	838.7937532	
1418.324963	839	1418.324963	838.7875919	
1419.482934	839	1419.482934	838.7817633	
1420.640715	838	1420.640715	838.7762438	
1421.798306	838	1421.798306	838.7710119	
1422.955706	840	1422.955706	838.7660481	
1424.112915	839	1424.112915	838.7613342	
1425.269935	840	1425.269935	838.7568539	
1426.426764	839	1426.426764	838.7525918	
1427.583403	839	1427.583403	838.7485341	
1428.739852	840	1428.739852	838.7446679	
1429.89611	839	1429.89611	838.7409813	
1431.052179	839	1431.052179	838.7374633	
1432.208057	838	1432.208057	838.7341038	
1433.363745	839	1433.363745	838.7308935	
1434.519243	838	1434.519243	838.7278236	
1435.674551	840	1435.674551	838.724886	
1436.82967	841	1436.82967	838.7220733	
1437.984598	839	1437.984598	838.7193785	
1439.139336	840	1439.139336	838.716795	
1440.293885	840	1440.293885	838.7143168	
1441.448243	840	1441.448243	838.7119383	
1442.602412	839	1442.602412	838.7096541	
1443.756391	840	1443.756391	838.7074594	
1444.910181	838	1444.910181	838.7053496	
1446.063781	839	1446.063781	838.7033202	
1447.217191	840	1447.217191	838.7013673	
1448.370411	840	1448.370411	838.6994871	
1449.523442	838	1449.523442	838.697676	
1450.676283	840	1450.676283	nan	
1451.828935	839	1451.828935	nan	
1452.981397	836	1452.981397	nan	
1454.13367	841	1454.13367	nan	
1455.285754	839	1455.285754	nan	
1456.437648	840	1456.437648	nan	
1457.589353	839	1457.589353	nan	
1458.740868	839	1458.740868	nan	
1459.892194	839	1459.892194	nan	
1461.043331	840	1461.043331	nan	
1462.194279	839	1462.194279	nan	
1463.345037	838	1463.345037	nan	
1464.495607	841	1464.495607	nan	
1465.645987	838	1465.645987	838.670701	
1466.796178	838	1466.796178	838.6716133	
1467.946181	840	1467.946181	838.6725536	
1469.095994	837	1469.095994	838.6735229	
1470.245618	839	1470.245618	838.6745224	
1471.395053	838	1471.395053	838.6755535	
1472.5443	839	1472.5443	838.6766175	
1473.693357	838	1473.693357	838.6777158	
1474.842226	838	1474.842226	838.6788499	
1475.990906	839	1475.990906	838.6800213	
1477.139397	838	1477.139397	838.6812318	
1478.287699	840	1478.287699	838.6824829	
1479.435813	838	1479.435813	838.6837767	
1480.583738	840	1480.583738	838.685115	
1481.731475	839	1481.731475	838.6864999	
1482.879023	840	1482.879023	838.6879337	
1484.026382	838	1484.026382	838.6894185	
1485.173553	839	1485.173553	838.6909569	
1486.320535	840	1486.320535	838.6925515	
1487.467329	840	1487.467329	838.6942049	
1488.613934	839	1488.613934	838.6959203	
1489.760352	838	1489.760352	838.6977006	
1490.90658	838	1490.90658	838.6995492	
1492.052621	838	1492.052621	838.7014696	
1493.198473	839	1493.198473	838.7034657	
1494.344137	839	1494.344137	838.7055413	
1495.489612	840	1495.489612	838.7077007	
1496.6349	837	1496.6349	838.7099486	
1497.779999	839	1497.779999	838.7122899	
1498.924911	839	1498.924911	838.7147297	
1500.069634	840	1500.069634	838.7172736	
1501.214169	839	1501.214169	838.7199277	
1502.358516	839	1502.358516	838.7226983	
1503.502675	840	1503.502675	838.7255924	
1504.646646	838	1504.646646	838.7286175	
1505.79043	838	1505.79043	838.7317814	
1506.934025	839	1506.934025	838.7350929	
1508.077433	839	1508.077433	838.7385612	
1509.220653	838	1509.220653	838.7421963	
1510.363685	838	1510.363685	838.7460091	
1511.506529	839	1511.506529	838.7500114	
1512.649186	841	1512.649186	838.7542158	
1513.791655	838	1513.791655	838.7586362	
1514.933936	838	1514.933936	838.7632875	
1516.07603	840	1516.07603	838.7681861	
1517.217936	840	1517.217936	838.7733498	
1518.359655	839	1518.359655	838.7787979	
1519.501186	838	1519.501186	838.7845518	
1520.642529	838	1520.642529	838.7906346	
1521.783686	837	1521.783686	838.7970717	
1522.924655	838	1522.924655	838.8038912	
1524.065436	839	1524.065436	838.8111239	
1525.20603	840	1525.20603	838.8188036	
1526.346437	839	1526.346437	838.8269679	
1527.486657	840	1527.486657	838.8356582	
1528.626689	838	1528.626689	838.8449205	
1529.766534	840	1529.766534	838.8548058	
1530.906193	839	1530.906193	838.8653711	
1532.045664	838	1532.045664	838.87668	
1533.184947	839	1533.184947	838.8888034	
1534.324044	839	1534.324044	838.9018212	
1535.462954	839	1535.462954	838.9158231	
1536.601677	840	1536.601677	838.9309102	
1537.740213	840	1537.740213	838.9471969	
